,year,playername,team,age,g,gs,attempts,yards,tds,longgain,yardsperatt,yardspergame,fumbles,basesalarycap (10^8),Percenthit (%),caphit (M),cashspent (M)
266,2013,Donald Brown,IND,26,16,5,102,537,6,51,5.3,33.6,1,1.23,2.2113821138211387,2.72,1.705
267,2012,Donald Brown,IND,25,10,4,108,417,1,19,3.9,41.7,0,1.206,1.5588723051409619,1.88,0.865
268,2011,Donald Brown,IND,24,16,2,134,645,5,80,4.8,40.3,0,1.2,2.7125,3.255,2.24
270,2009,Donald Brown,IND,22,11,1,78,281,3,45,3.6,25.5,1,1.23,0.9512195121951221,1.17,1.97
957,2020,Duke Johnson,HOU,27,5,0,18,54,0,10,3.0,10.8,1,1.982,2.0686175580222,4.1,4.1
958,2019,Duke Johnson,HOU,26,16,2,83,410,2,40,4.9,25.6,1,1.882,1.1689691817215728,2.2,2.2
959,2018,Duke Johnson,CLE,25,16,2,40,201,0,23,5.0,12.6,1,1.772,2.197812076749436,3.894523,5.967
960,2017,Duke Johnson,CLE,24,16,0,82,348,4,19,4.2,21.8,4,1.67,0.4970197604790419,0.830023,0.6525
961,2016,Duke Johnson,CLE,23,16,1,73,358,1,22,4.9,22.4,2,1.5527,0.4717736845494944,0.732523,0.555
962,2015,Duke Johnson,CLE,22,16,7,104,379,0,39,3.6,23.7,1,1.4328,0.42750069793411505,0.612523,1.145092
1065,2017,Eddie Lacy,SEA,27,9,3,69,179,0,19,2.6,19.9,0,1.67,2.133233532934132,3.5625,4.25
1066,2016,Eddie Lacy,GNB,26,5,5,71,360,0,31,5.1,72.0,0,1.5527,0.6951787209377215,1.079404,0.867602
1067,2015,Eddie Lacy,GNB,25,15,12,187,758,3,29,4.1,50.5,4,1.4328,0.6457307370184254,0.925203,0.713401
1068,2014,Eddie Lacy,GNB,24,16,16,246,1139,9,44,4.6,71.2,3,1.33,0.5797015037593986,0.771003,0.559201
1069,2013,Eddie Lacy,GNB,23,15,15,284,1178,11,60,4.1,78.5,1,1.23,0.5014650406504064,0.616802,1.252208
914,2008,Edgerrin James,ARI,30,13,7,133,514,3,35,3.9,39.5,2,1.16,5.818965517241378,6.75,6.75
