Year,Team,Adjusted Line yards,,Running Back Yards,,Power Success Rate,,Open Field Yards,,Second Level Yards,,Stuffed Rate,,Adjusted Sack Rate,,Sacks
2013,NOR,7,4.33,15,4.11,13,67%,18,0.65,12,1.22,23,20.70%,4,5.30%,37
2013,NYG,30,3.48,30,3.48,10,70%,28,0.45,18,1.1,31,24.60%,18,7.60%,40
2013,NYJ,21,4.03,11,4.27,12,68%,11,0.8,27,0.96,8,16.80%,27,8.40%,47
2013,OAK,26,3.94,16,4.09,20,61%,10,0.83,31,0.88,6,16.20%,28,8.50%,44
2013,PHI,25,3.95,1,5.02,7,72%,2,1.24,1,1.57,21,20.40%,31,9.40%,46
2013,PIT,22,4.02,28,3.57,21,61%,29,0.39,29,0.94,24,20.70%,15,7.30%,43
2013,SDG,3,4.52,13,4.2,5,74%,27,0.5,17,1.1,1,12.10%,8,5.90%,30
2013,SEA,9,4.3,18,4.03,32,49%,23,0.59,13,1.17,15,19.20%,32,9.60%,44
2013,SFO,29,3.79,17,4.06,28,55%,5,0.98,15,1.12,29,23.90%,22,7.80%,39
2013,STL,12,4.2,21,3.95,25,58%,16,0.68,20,1.05,13,18.80%,14,6.80%,36
2013,TAM,27,3.86,19,4,22,59%,13,0.77,16,1.12,22,20.70%,21,7.70%,47
2013,TEN,19,4.06,26,3.83,29,55%,22,0.6,21,1.05,19,20.10%,12,6.70%,37
2013,WAS,23,3.98,7,4.51,4,76%,7,0.96,5,1.29,28,22.40%,19,7.60%,43
2012,ARI,32,3.11,32,3.26,31,48%,20,0.66,32,0.85,32,27.00%,26,8.10%,58
2012,ATL,24,4.11,30,3.69,32,39%,21,0.66,26,1.03,27,23.40%,8,5.10%,28
2012,BAL,6,4.6,8,4.53,14,64%,11,0.87,14,1.22,4,16.40%,13,6.10%,38
2012,BUF,7,4.51,2,5.15,26,57%,4,1.14,3,1.42,8,17.10%,10,5.50%,30
2012,CAR,30,3.71,24,3.88,1,75%,19,0.72,22,1.08,26,22.80%,21,7.60%,36
2012,CHI,16,4.3,18,4.08,25,57%,18,0.73,19,1.12,25,20.80%,24,8.00%,44
2012,CIN,11,4.41,16,4.17,5,69%,9,0.9,31,0.91,9,17.30%,28,8.30%,46
